full_name,gender,type,state,district,full_district,party,personal_twitter,official_twitter,partisan_lean_2018,partisan_lean_2020,last_name,first_name,middle_name,suffix,url,address,phone,contact_form,rss_url,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
John W. Hickenlooper,M,sen,CO,,NaN,D,Hickenlooper,,D+1,R+0,Hickenlooper,John,Wright,,https://www.hickenlooper.senate.gov,B85 Russell Senate Office Building Washington DC 20510,202-224-5941,https://www.hickenlooper.senate.gov,,,,,H000273,,,S408,S0CO00575,,456797,,John Hickenlooper,,,John Hickenlooper
Richard Blumenthal,M,sen,CT,,NaN,D,NaN,SenBlumenthal,D+11,D+10,Blumenthal,Richard,,,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076.0,N00031685,S341,S0CT00177,21799.0,412490,1568.0,Richard Blumenthal,,41101.0,Richard Blumenthal
Christopher Murphy,M,sen,CT,,NaN,D,ChrisMurphyCT,senmurphyoffice,D+11,D+10,Murphy,Christopher,S.,,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,http://www.murphy.senate.gov/contact,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,chrismurphyct,senchrismurphy,UCbcEa40PIFpLpdDe06n3F3Q,M001169,1837.0,N00027566,S364,"H6CT05124,S2CT00132",1021270.0,412194,17189.0,Christopher S. Murphy,,20707.0,Chris Murphy
Thomas R. Carper,M,sen,DE,,NaN,D,TomCarperforDE,SenatorCarper,D+14,D+12,Carper,Thomas,Richard,,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179.0,N00012508,S277,S8DE00079,663.0,300019,22421.0,Tom Carper,,15015.0,Tom Carper
Christopher A. Coons,M,sen,DE,,NaN,D,ChrisCoonsforDE,ChrisCoons,D+14,D+12,Coons,Christopher,Andrew,,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984.0,N00031820,S337,S0DE00092,9269028.0,412390,122834.0,Chris Coons,,40916.0,Chris Coons
Marco Rubio,M,sen,FL,,NaN,R,marcorubio,SenRubioPress,R+5,R+6,Rubio,Marco,,,https://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,202-224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,R000595,2084.0,N00030612,S350,S0FL00338,87599.0,412491,1601.0,Marco Rubio,,41102.0,Marco Rubio
Rick Scott,M,sen,FL,,NaN,R,ScottforFlorida,SenRickScott,R+5,R+6,Scott,Rick,,,https://www.rickscott.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,https://www.rickscott.senate.gov/contact_rick,,RickScottSenOffice,,UC-Y9pFmW4PYGZHkC8lcqSkQ,S001217,,N00043290,S404,S8FL00273,,412838,124204.0,Rick Scott,,41903.0,Rick Scott
Jon Ossoff,M,sen,GA,,NaN,D,ossoff,SenOssoff,R+12,R+13,Ossoff,Jon,,,https://www.ossoff.senate.gov,825 B&C Hart Senate Office Building Washington DC 20510,202-224-3521,https://www.ossoff.senate.gov,,,,,O000174,,,S414,"H8GA06195,S8GA00180",,456857,,Jon Ossoff,,,Jon Ossoff
Raphael G. Warnock,M,sen,GA,,NaN,D,ReverendWarnock,SenatorWarnock,R+12,R+13,Warnock,Raphael,Gamaliel,,https://www.warnock.senate.gov,B40D Dirksen Senate Office Building Washington DC 20510,202-224-3643,https://www.warnock.senate.gov,,,,,W000790,,,S415,S0GA00559,,456858,,Raphael Warnock,,,Raphael Warnock
Mazie K. Hirono,F,sen,HI,,NaN,D,mazieforhawaii,MazieHirono,D+36,D+36,Hirono,Mazie,K.,,https://www.hirono.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-6361,https://www.hirono.senate.gov/contact,http://www.hirono.senate.gov/rss/feeds/?type=all,senatorhirono,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA,H001042,1844.0,N00028139,S361,"H6HI02251,S2HI00106",91216.0,412200,1677.0,Mazie K. Hirono,,20713.0,Mazie Hirono
Brian Schatz,M,sen,HI,,NaN,D,brianschatz,SenBrianSchatz,D+36,D+36,Schatz,Brian,Emanuel,,https://www.schatz.senate.gov,722 Hart Senate Office Building Washington DC 20510,202-224-3934,https://www.schatz.senate.gov/contact,,SenBrianSchatz,senbrianschatz,UC8-mSYp2WqBiB_5iwtwKfow,S001194,2173.0,N00028138,S353,"S4HI00136,H6HI02244",87784.0,412507,17852.0,Brian E. Schatz,,41112.0,Brian Schatz
Chuck Grassley,M,sen,IA,,NaN,R,NaN,ChuckGrassley,R+6,R+9,Grassley,Charles,E.,,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,http://www.grassley.senate.gov/contact,http://grassley.senate.gov/customcf/rss_feed.cfm,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,G000386,457.0,N00001758,S153,S0IA00028,1167.0,300048,53293.0,Chuck Grassley,,14226.0,Chuck Grassley
Joni Ernst,F,sen,IA,,NaN,R,joniernst,SenJoniErnst,R+6,R+9,Ernst,Joni,,,https://www.ernst.senate.gov/public,730 Hart Senate Office Building Washington DC 20510,202-224-3254,https://www.ernst.senate.gov/public/index.cfm/contact,,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,E000295,2283.0,N00035483,S376,S4IA00129,75342.0,412667,128583.0,Joni Ernst,,41502.0,Joni Ernst
James E. Risch,M,sen,ID,,NaN,R,Risch4Idaho,SenatorRisch,R+35,R+33,Risch,James,E.,,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896.0,N00029441,S323,S8ID00092,1020034.0,412322,2919.0,Jim Risch,,40902.0,Jim Risch
Mike Crapo,M,sen,ID,,NaN,R,crapoforsenate,MikeCrapo,R+35,R+33,Crapo,Michael,D.,,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact,,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,C000880,250.0,N00006267,S266,"S8ID00027,H2ID02034",26440.0,300030,26830.0,Mike Crapo,,29345.0,Mike Crapo
Richard J. Durbin,M,sen,IL,,NaN,D,DickDurbin,SenatorDurbin,D+13,D+13,Durbin,Richard,J.,,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741.0,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin
Tammy Duckworth,F,sen,IL,,NaN,D,TammyforIL,SenDuckworth,D+13,D+13,Duckworth,Tammy,,,https://www.duckworth.senate.gov,524 Hart Senate Office Building Washington DC 20510,202-224-2854,https://www.duckworth.senate.gov/content/contact-senator,,SenDuckworth,repduckworth,UCYRWRvUxtjaHnFMCbdd94tg,D000622,2123.0,N00027860,S386,"H6IL06141,S6IL00292",94484.0,412533,57442.0,Tammy Duckworth,,21325.0,Tammy Duckworth
Todd Young,M,sen,IN,,NaN,R,ToddYoungIN,SenToddYoung,R+18,R+17,Young,Todd,C.,,https://www.young.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,202-224-5623,https://www.young.senate.gov/contact,,SenatorToddYoung,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,Y000064,2019.0,N00030670,S391,"H0IN09070,S6IN00191",1033743.0,412428,120345.0,Todd Young,,21133.0,Todd Young
Mike Braun,M,sen,IN,,NaN,R,braun4indiana,SenatorBraun,R+18,R+17,Braun,Mike,,,https://www.braun.senate.gov,374 Russell Senate Office Building Washington DC 20510,202-224-4814,http://www.braun.senate.gov/contact-mike,,,,,B001310,,N00041731,S397,S8IN00171,,412839,148564.0,Mike Braun,,41900.0,Mike Braun
Jerry Moran,M,sen,KS,,NaN,R,NaN,JerryMoran,R+23,R+21,Moran,Jerry,,,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov/public/index.cfm/rss/feed/,jerrymoran,senatorjerrymoran,UC1oRxeUPam6-53wPBZ3N02A,M000934,1507.0,N00005282,S347,"H6KS01096,S0KS00091",45469.0,400284,542.0,Jerry Moran,,29722.0,Jerry Moran
Roger Marshall,M,sen,KS,,NaN,R,RogerMarshallMD,SenatorMarshall,R+23,R+21,Marshall,Roger,,,https://www.marshall.senate.gov,B33 Russell Senate Office Building Washington DC 20510,202-224-4774,https://www.marshall.senate.gov,,,,,M001198,,N00037034,S411,"H6KS01179,S0KS00315",103425.0,412704,172080.0,Roger Marshall,,21734.0,Roger Marshall (politician)
Mitch McConnell,M,sen,KY,,NaN,R,NaN,McConnellPress,R+23,R+24,McConnell,Mitch,,,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,mitchmcconnell,,,M000355,1395.0,N00003389,S174,S2KY00012,2351.0,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell
Rand Paul,M,sen,KY,,NaN,R,DrRandPaul,RandPaul,R+23,R+24,Paul,Rand,,,https://www.paul.senate.gov,167 Russell Senate Office Building Washington DC 20510,202-224-4343,https://www.paul.senate.gov/connect/email-rand,http://paul.senate.gov/rss/?p=news,SenatorRandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ,P000603,2082.0,N00030836,S348,S0KY00156,9265241.0,412492,117285.0,Rand Paul,,41104.0,Rand Paul
Bill Cassidy,M,sen,LA,,NaN,R,BillCassidy,SenBillCassidy,R+17,R+19,Cassidy,Bill,,,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925.0,N00030245,S373,"H8LA00017,S4LA00107",1030546.0,412269,69494.0,Bill Cassidy,,20919.0,Bill Cassidy
John Kennedy,M,sen,LA,,NaN,R,JohnKennedyLA,SenJohnKennedy,R+17,R+19,Kennedy,John,Neely,,https://www.kennedy.senate.gov/public,416 Russell Senate Office Building Washington DC 20510,202-224-4623,https://www.kennedy.senate.gov/public/email-me,,JohnKennedyLouisiana,,,K000393,,N00026823,S389,S4LA00065,1011723.0,412679,35496.0,John Neely Kennedy,,41703.0,John Kennedy (Louisiana politician)
Edward J. Markey,M,sen,MA,,NaN,D,EdMarkey,SenMarkey,D+29,D+23,Markey,Edward,J.,,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,https://www.markey.senate.gov/contact,,EdJMarkey,RepMarkey,UCT1ujew5yQy2uMhGrjiKHoA,M000133,735.0,N00000270,S369,"H6MA07101,S4MA00028",260.0,400253,26900.0,Ed Markey,,14435.0,Ed Markey
Elizabeth Warren,F,sen,MA,,NaN,D,ewarren,SenWarren,D+29,D+23,Warren,Elizabeth,,,https://www.warren.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-4543,https://www.warren.senate.gov/?p=email_senator,http://www.warren.senate.gov/rss/?p=hot_topic,senatorelizabethwarren,senelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A,W000817,2182.0,N00033492,S366,S2MA00170,1023023.0,412542,141272.0,Elizabeth Warren,,41301.0,Elizabeth Warren
Benjamin L. Cardin,M,sen,MD,,NaN,D,BenCardinforMD,SenatorCardin,D+23,D+23,Cardin,Benjamin,L.,,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174.0,N00001955,S308,"H6MD03177,S6MD03177",4004.0,400064,26888.0,Ben Cardin,,15408.0,Ben Cardin
Chris Van Hollen,M,sen,MD,,NaN,D,VanHollenForMD,ChrisVanHollen,D+23,D+23,Van Hollen,Chris,,,https://www.vanhollen.senate.gov,110 Hart Senate Office Building Washington DC 20510,202-224-4654,http://www.vanhollen.senate.gov/contact/email,,chrisvanhollen,RepChrisVanHollen,UCkpfJWu1N9Okd6PE_NidtBQ,V000128,1729.0,N00013820,S390,"H2MD08126,S6MD03441",20756.0,400415,6098.0,Chris Van Hollen,,20330.0,Chris Van Hollen
Susan M. Collins,F,sen,ME,,NaN,R,SenSusanCollins,SenatorCollins,D+5,D+3,Collins,Susan,M.,,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541.0,N00000491,S252,S6ME00159,45738.0,300025,379.0,Susan Collins,,49703.0,Susan Collins
"Angus S. King, Jr.",M,sen,ME,,NaN,Independent,AngusforMaine,SenAngusKing,D+5,D+3,King,Angus,S.,Jr.,https://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/rss/feeds/?type=all,SenatorAngusSKingJr,SenatorAngusKing,UCpp6lGvrmt0XU_lnD4Ak0gA,K000383,2185.0,N00034580,S363,S2ME00109,37413.0,412545,22381.0,Angus King,,41300.0,Angus King
Debbie Stabenow,F,sen,MI,,NaN,D,stabenow,SenStabenow,D+1,D+6,Stabenow,Debbie,Ann,,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531.0,N00004118,S284,"S8MI00281,H6MI08163",45451.0,300093,515.0,Debbie Stabenow,,29732.0,Debbie Stabenow
Gary C. Peters,M,sen,MI,,NaN,D,GaryPeters,SenGaryPeters,D+1,D+6,Peters,Gary,C.,,https://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-6221,https://www.peters.senate.gov/contact/email-gary,,SenGaryPeters,RepGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,P000595,1929.0,N00029277,S380,"H8MI09068,S4MI00355",50199.0,412305,8749.0,Gary Peters,,20923.0,Gary Peters
Amy Klobuchar,F,sen,MN,,NaN,D,amyklobuchar,SenAmyKlobuchar,D+2,D+1,Klobuchar,Amy,Jean,,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826.0,N00027500,S311,S6MN00267,83701.0,412242,65092.0,Amy Klobuchar,,40700.0,Amy Klobuchar
Tina Smith,F,sen,MN,,NaN,D,TinaSmithMN,SenTinaSmith,D+2,D+1,Smith,Tina,Flint,,https://www.smith.senate.gov,720 Hart Senate Office Building Washington DC 20510,202-224-5641,https://www.smith.senate.gov/contact-tina,,USSenTinaSmith,,,S001203,,N00042353,S394,S8MN00578,111313.0,412742,152968.0,Tina Smith,,41706.0,Tina Smith
Roy Blunt,M,sen,MO,,NaN,R,RoyBluntMO,RoyBlunt,R+19,R+21,Blunt,Roy,,,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464.0,N00005195,S342,"H6MO07128,S0MO00183",45465.0,400034,418.0,Roy Blunt,,29735.0,Roy Blunt
Josh Hawley,M,sen,MO,,NaN,R,HawleyMO,SenHawleyPress,R+19,R+21,Hawley,Joshua,,,https://www.hawley.senate.gov,212 Russell Senate Office Building Washington DC 20510,202-224-6154,https://www.hawley.senate.gov/contact-senator-hawley,,,,,H001089,,N00041620,S399,S8MO00160,,412840,169716.0,Josh Hawley,,41901.0,Josh Hawley
Roger F. Wicker,M,sen,MS,,NaN,R,RogerWicker,SenatorWicker,R+15,R+15,Wicker,Roger,F.,,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203.0,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker
Cindy Hyde-Smith,F,sen,MS,,NaN,R,cindyhydesmith,SenHydeSmith,R+15,R+15,Hyde-Smith,Cindy,,,https://www.hydesmith.senate.gov,702 Hart Senate Office Building Washington DC 20510,202-224-5054,https://www.hydesmith.senate.gov/content/contact-senator,,,,UCJHxkJhGST0NTlkzJHWV03Q,H001079,,N00043298,S395,S8MS00261,113208.0,412743,20784.0,Cindy Hyde-Smith,,41707.0,Cindy Hyde-Smith
Jon Tester,M,sen,MT,,NaN,D,jontester,SenatorTester,R+18,R+18,Tester,Jon,,,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829.0,N00027605,S314,S6MT00162,1020176.0,412244,20928.0,Jon Tester,,40702.0,Jon Tester
Steve Daines,M,sen,MT,,NaN,R,DainesforMT,SteveDaines,R+18,R+18,Daines,Steve,,,https://www.daines.senate.gov,320 Hart Senate Office Building Washington DC 20510,202-224-2651,https://www.daines.senate.gov/connect/email-steve,,SteveDainesMT,SteveDainesMT,UC-ny-W5mEUGytiyMdXbQ20Q,D000618,2138.0,N00033054,S375,"H2MT01060,S2MT00096",1034037.0,412549,135720.0,Steve Daines,,21338.0,Steve Daines
Richard Burr,M,sen,NC,,NaN,R,NaN,SenatorBurr,R+5,R+4,Burr,Richard,M.,,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.burr.senate.gov/contact/email,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,153.0,N00002221,S300,"S4NC00089,H2NC05074",31054.0,400054,21787.0,Richard Burr,,29548.0,Richard Burr
Thom Tillis,M,sen,NC,,NaN,R,ThomTillis,senthomtillis,R+5,R+4,Tillis,Thom,,,https://www.tillis.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-6342,https://www.tillis.senate.gov/public/index.cfm/email-me,,SenatorThomTillis,,UCUD9VGV4SSGWjGdbn37Ea2w,T000476,2291.0,N00035492,S384,S4NC00162,77055.0,412668,57717.0,Thom Tillis (North Carolina),,41504.0,Thom Tillis
John Hoeven,M,sen,ND,,NaN,R,NaN,SenJohnHoeven,R+33,R+34,Hoeven,John,,,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator,http://www.hoeven.senate.gov/public/index.cfm/rss/feed,SenatorJohnHoeven,senatorjohnhoevennd,UC1kQIC2Q_Fq9_NRqdb6eHiw,H001061,2079.0,N00031688,S344,S0ND00093,85233.0,412494,41788.0,John Hoeven,,41107.0,John Hoeven
Kevin Cramer,M,sen,ND,,NaN,R,kevincramer,SenKevinCramer,R+33,R+34,Cramer,Kevin,,,https://www.cramer.senate.gov,400 Russell Senate Office Building Washington DC 20510,202-224-2043,https://www.cramer.senate.gov/contact/contact-kevin,,CongressmanKevinCramer,kevincramer,UCqUPdO9XaAW-dvwwXKbIVdA,C001096,2144.0,N00004614,S398,"H0ND01026,H6ND00074,S8ND00120",7600.0,412555,444.0,Kevin Cramer,,21350.0,Kevin Cramer
Deb Fischer,F,sen,NE,,NaN,R,DebFischerNE,SenatorFischer,R+24,R+25,Fischer,Deb,,,https://www.fischer.senate.gov,454 Russell Senate Office Building Washington DC 20510,202-224-6551,http://www.fischer.senate.gov/public/index.cfm/contact,http://www.fischer.senate.gov/public/index.cfm/rss/feed,senatordebfischer,senatordebfischer,UCrbEfZaG_WhB0PBHI1hefPQ,F000463,2179.0,N00033443,S357,S2NE00094,1034067.0,412556,41963.0,Deb Fischer,,41302.0,Deb Fischer
Ben Sasse,M,sen,NE,,NaN,R,BenSasse,SenSasse,R+24,R+25,Sasse,Benjamin,Eric,,https://www.sasse.senate.gov/public,107 Russell Senate Office Building Washington DC 20510,202-224-4224,http://www.sasse.senate.gov/public/index.cfm/email-ben,,SenatorSasse,,UCYaNGwcM2Dl5yDcDqS6xV2g,S001197,2289.0,N00035544,S382,S4NE00090,77429.0,412671,150182.0,Ben Sasse,,41503.0,Ben Sasse
Jeanne Shaheen,F,sen,NH,,NaN,D,JeanneShaheen,SenatorShaheen,R+2,R+1,Shaheen,Jeanne,,,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901.0,N00024790,S324,S0NH00219,22850.0,412323,1663.0,Jeanne Shaheen,,40906.0,Jeanne Shaheen
