,full_name,gender,type,state,district,full_district,party,personal_twitter,official_twitter,partisan_lean_2018,partisan_lean_2020,last_name,first_name,middle_name,suffix,url,address,phone,contact_form,rss_url,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,Bio,Follower Count
22,Chuck Grassley,M,sen,IA,,,R,ChuckGrassley,ChuckGrassley,R+6,R+9,Grassley,Charles,E.,,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,http://www.grassley.senate.gov/contact,http://grassley.senate.gov/customcf/rss_feed.cfm,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,G000386,457.0,N00001758,S153,S0IA00028,1167.0,300048,53293.0,Chuck Grassley,,14226.0,Chuck Grassley,u s  senator  family farmer  lifetime resident of new hartford  ia  also follow  grassleypress for news and information ,633211.0
23,Joni Ernst,F,sen,IA,,,R,joniernst,SenJoniErnst,R+6,R+9,Ernst,Joni,,,https://www.ernst.senate.gov/public,730 Hart Senate Office Building Washington DC 20510,202-224-3254,https://www.ernst.senate.gov/public/index.cfm/contact,,senjoniernst,,UCLwrmtF_84FIcK3TyMs4MIw,E000295,2283.0,N00035483,S376,S4IA00129,75342.0,412667,128583.0,Joni Ernst,,41502.0,Joni Ernst,mother  soldier  leader  proudly serving iowa in the united states senate ,51788.0
24,James E. Risch,M,sen,ID,,,R,Risch4Idaho,SenatorRisch,R+35,R+33,Risch,James,E.,,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896.0,N00029441,S323,S8ID00092,1020034.0,412322,2919.0,Jim Risch,,40902.0,Jim Risch,husband  father  grandfather  idahoan  official account for the jim risch for u s  senate campaign ,768.0
25,Mike Crapo,M,sen,ID,,,R,crapoforsenate,MikeCrapo,R+35,R+33,Crapo,Michael,D.,,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact,,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,C000880,250.0,N00006267,S266,"S8ID00027,H2ID02034",26440.0,300030,26830.0,Mike Crapo,,29345.0,Mike Crapo,campaign account for an unwavering commonsense conservative who fights for lower taxes  limited government and reduced federal spending   crapoforsenate,596.0
26,Richard J. Durbin,M,sen,IL,,,D,DickDurbin,SenatorDurbin,D+13,D+13,Durbin,Richard,J.,,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741.0,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin,u s  senator for illinois,30541.0
27,Tammy Duckworth,F,sen,IL,,,D,TammyforIL,SenDuckworth,D+13,D+13,Duckworth,Tammy,,,https://www.duckworth.senate.gov,524 Hart Senate Office Building Washington DC 20510,202-224-2854,https://www.duckworth.senate.gov/content/contact-senator,,SenDuckworth,repduckworth,UCYRWRvUxtjaHnFMCbdd94tg,D000622,2123.0,N00027860,S386,"H6IL06141,S6IL00292",94484.0,412533,57442.0,Tammy Duckworth,,21325.0,Tammy Duckworth,official twitter feed of tammy duckworth s campaign to represent illinois in the u s  senate ,52233.0
28,Todd Young,M,sen,IN,,,R,ToddYoungIN,SenToddYoung,R+18,R+17,Young,Todd,C.,,https://www.young.senate.gov,185 Dirksen Senate Office Building Washington DC 20510,202-224-5623,https://www.young.senate.gov/contact,,SenatorToddYoung,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ,Y000064,2019.0,N00030670,S391,"H0IN09070,S6IN00191",1033743.0,412428,120345.0,Todd Young,,21133.0,Todd Young,us senator for indiana  a proud husband  father  naval academy graduate  and marine fighting for hoosier families ,10495.0
29,Mike Braun,M,sen,IN,,,R,braun4indiana,SenatorBraun,R+18,R+17,Braun,Mike,,,https://www.braun.senate.gov,374 Russell Senate Office Building Washington DC 20510,202-224-4814,http://www.braun.senate.gov/contact-mike,,,,,B001310,,N00041731,S397,S8IN00171,,412839,148564.0,Mike Braun,,41900.0,Mike Braun,mike braun  a lifelong resident of jasper  indiana  is a conservative businessman and u s  senator from indiana   ibackbraun official   senatorbraun,14710.0
30,Jerry Moran,M,sen,KS,,,R,JerryMoran,JerryMoran,R+23,R+21,Moran,Jerry,,,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov/public/index.cfm/rss/feed/,jerrymoran,senatorjerrymoran,UC1oRxeUPam6-53wPBZ3N02A,M000934,1507.0,N00005282,S347,"H6KS01096,S0KS00091",45469.0,400284,542.0,Jerry Moran,,29722.0,Jerry Moran,official account of u s  senator jerry moran  honored to represent kansans in the u s  senate ,115790.0
31,Roger Marshall,M,sen,KS,,,R,RogerMarshallMD,SenatorMarshall,R+23,R+21,Marshall,Roger,,,https://www.marshall.senate.gov,B33 Russell Senate Office Building Washington DC 20510,202-224-4774,https://www.marshall.senate.gov,,,,,M001198,,N00037034,S411,"H6KS01179,S0KS00315",103425.0,412704,172080.0,Roger Marshall,,21734.0,Roger Marshall (politician),husband  father  grandfather  doctor  and senator for kansas ,18816.0
32,Mitch McConnell,M,sen,KY,,,R,McConnellPress,McConnellPress,R+23,R+24,McConnell,Mitch,,,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,mitchmcconnell,,,M000355,1395.0,N00003389,S174,S2KY00012,2351.0,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell,the  kentucky press office for u s  senate republican leader mitch mcconnell  leadermcconnell  for more information please visit his website ,95682.0
33,Rand Paul,M,sen,KY,,,R,DrRandPaul,RandPaul,R+23,R+24,Paul,Rand,,,https://www.paul.senate.gov,167 Russell Senate Office Building Washington DC 20510,202-224-4343,https://www.paul.senate.gov/connect/email-rand,http://paul.senate.gov/rss/?p=news,SenatorRandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ,P000603,2082.0,N00030836,S348,S0KY00156,9265241.0,412492,117285.0,Rand Paul,,41104.0,Rand Paul,i fight for the constitution  individual liberty and the freedoms that make this country great ,68926.0
34,Bill Cassidy,M,sen,LA,,,R,BillCassidy,SenBillCassidy,R+17,R+19,Cassidy,Bill,,,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925.0,N00030245,S373,"H8LA00017,S4LA00107",1030546.0,412269,69494.0,Bill Cassidy,,20919.0,Bill Cassidy,gastroenterologist currently serving the people of louisiana in the u s  senate,47016.0
35,John Kennedy,M,sen,LA,,,R,JohnKennedyLA,SenJohnKennedy,R+17,R+19,Kennedy,John,Neely,,https://www.kennedy.senate.gov/public,416 Russell Senate Office Building Washington DC 20510,202-224-4623,https://www.kennedy.senate.gov/public/email-me,,JohnKennedyLouisiana,,,K000393,,N00026823,S389,S4LA00065,1011723.0,412679,35496.0,John Neely Kennedy,,41703.0,John Kennedy (Louisiana politician),u s  senator,9099.0
36,Edward J. Markey,M,sen,MA,,,D,EdMarkey,SenMarkey,D+29,D+23,Markey,Edward,J.,,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,https://www.markey.senate.gov/contact,,EdJMarkey,RepMarkey,UCT1ujew5yQy2uMhGrjiKHoA,M000133,735.0,N00000270,S369,"H6MA07101,S4MA00028",260.0,400253,26900.0,Ed Markey,,14435.0,Ed Markey,u s  senator fighting for the families and future of massachusetts  malden native  red sox fan   netneutrality defender  co-author of the  greennewdeal  he/him ,241176.0
37,Elizabeth Warren,F,sen,MA,,,D,ewarren,SenWarren,D+29,D+23,Warren,Elizabeth,,,https://www.warren.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-4543,https://www.warren.senate.gov/?p=email_senator,http://www.warren.senate.gov/rss/?p=hot_topic,senatorelizabethwarren,senelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A,W000817,2182.0,N00033492,S366,S2MA00170,1023023.0,412542,141272.0,Elizabeth Warren,,41301.0,Elizabeth Warren,u s  senator  former teacher  wife  mom  amelia  alex  bailey   cfpb   grandmother  and okie  she/her  official campaign account ,5726735.0
38,Benjamin L. Cardin,M,sen,MD,,,D,BenCardinforMD,SenatorCardin,D+23,D+23,Cardin,Benjamin,L.,,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174.0,N00001955,S308,"H6MD03177,S6MD03177",4004.0,400064,26888.0,Ben Cardin,,15408.0,Ben Cardin,working hard for maryland and asking you to please wear a mask                                                              by auth  ben cardin for senate,7927.0
39,Chris Van Hollen,M,sen,MD,,,D,VanHollenForMD,ChrisVanHollen,D+23,D+23,Van Hollen,Chris,,,https://www.vanhollen.senate.gov,110 Hart Senate Office Building Washington DC 20510,202-224-4654,http://www.vanhollen.senate.gov/contact/email,,chrisvanhollen,RepChrisVanHollen,UCkpfJWu1N9Okd6PE_NidtBQ,V000128,1729.0,N00013820,S390,"H2MD08126,S6MD03441",20756.0,400415,6098.0,Chris Van Hollen,,20330.0,Chris Van Hollen,proud marylander serving the people of this state for 25 years  progressive fighter committed to getting results ,6361.0
40,Susan M. Collins,F,sen,ME,,,R,SenSusanCollins,SenatorCollins,D+5,D+3,Collins,Susan,M.,,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541.0,N00000491,S252,S6ME00159,45738.0,300025,379.0,Susan Collins,,49703.0,Susan Collins,official campaign account for susan collins for senator    1 most bipartisan senator   sign up below \xe2\xac\x87\xef\xb8\x8f to join team collins,6304.0
41,"Angus S. King, Jr.",M,sen,ME,,,Independent,AngusforMaine,SenAngusKing,D+5,D+3,King,Angus,S.,Jr.,https://www.king.senate.gov,133 Hart Senate Office Building Washington DC 20510,202-224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/rss/feeds/?type=all,SenatorAngusSKingJr,SenatorAngusKing,UCpp6lGvrmt0XU_lnD4Ak0gA,K000383,2185.0,N00034580,S363,S2ME00109,37413.0,412545,22381.0,Angus King,,41300.0,Angus King,u s  senator fighting for maine  husband to mary  father to five children  and grandfather to six grandchildren  rv and harley enthusiast ,632.0
42,Debbie Stabenow,F,sen,MI,,,D,stabenow,SenStabenow,D+1,D+6,Stabenow,Debbie,Ann,,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531.0,N00004118,S284,"S8MI00281,H6MI08163",45451.0,300093,515.0,Debbie Stabenow,,29732.0,Debbie Stabenow,senator stabenow proudly represents the great state of michigan in the u s  senate ,62502.0
43,Gary C. Peters,M,sen,MI,,,D,GaryPeters,SenGaryPeters,D+1,D+6,Peters,Gary,C.,,https://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-6221,https://www.peters.senate.gov/contact/email-gary,,SenGaryPeters,RepGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,P000595,1929.0,N00029277,S380,"H8MI09068,S4MI00355",50199.0,412305,8749.0,Gary Peters,,20923.0,Gary Peters,proud husband and father of three  five generations in mi  20  years in business  10  years in the u s  navy reserve  fighter for the middle class,42079.0
44,Amy Klobuchar,F,sen,MN,,,D,amyklobuchar,SenAmyKlobuchar,D+2,D+1,Klobuchar,Amy,Jean,,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826.0,N00027500,S311,S6MN00267,83701.0,412242,65092.0,Amy Klobuchar,,40700.0,Amy Klobuchar,u s  senator from minnesota ,1643522.0
45,Tina Smith,F,sen,MN,,,D,TinaSmithMN,SenTinaSmith,D+2,D+1,Smith,Tina,Flint,,https://www.smith.senate.gov,720 Hart Senate Office Building Washington DC 20510,202-224-5641,https://www.smith.senate.gov/contact-tina,,USSenTinaSmith,,,S001203,,N00042353,S394,S8MN00578,111313.0,412742,152968.0,Tina Smith,,41706.0,Tina Smith,converse-wearing  donut-eating u s  senator from minnesota  longtime fierce advocate for families and new grandma  she/her,85981.0
46,Roy Blunt,M,sen,MO,,,R,RoyBluntMO,RoyBlunt,R+19,R+21,Blunt,Roy,,,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464.0,N00005195,S342,"H6MO07128,S0MO00183",45465.0,400034,418.0,Roy Blunt,,29735.0,Roy Blunt,i m running for senate to deliver real results for the people of missouri ,6997.0
47,Josh Hawley,M,sen,MO,,,R,HawleyMO,SenHawleyPress,R+19,R+21,Hawley,Joshua,,,https://www.hawley.senate.gov,212 Russell Senate Office Building Washington DC 20510,202-224-6154,https://www.hawley.senate.gov/contact-senator-hawley,,,,,H001089,,N00041620,S399,S8MO00160,,412840,169716.0,Josh Hawley,,41901.0,Josh Hawley,constitutional lawyer  husband to erin  dad to elijah  blaise and abigail  us senator from missouri,615019.0
48,Roger F. Wicker,M,sen,MS,,,R,RogerWicker,SenatorWicker,R+15,R+15,Wicker,Roger,F.,,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203.0,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker,life-long mississippian  currently serving in the united states senate  updates are from the campaign unless signed rw ,15329.0
49,Cindy Hyde-Smith,F,sen,MS,,,R,cindyhydesmith,SenHydeSmith,R+15,R+15,Hyde-Smith,Cindy,,,https://www.hydesmith.senate.gov,702 Hart Senate Office Building Washington DC 20510,202-224-5054,https://www.hydesmith.senate.gov/content/contact-senator,,,,UCJHxkJhGST0NTlkzJHWV03Q,H001079,,N00043298,S395,S8MS00261,113208.0,412743,20784.0,Cindy Hyde-Smith,,41707.0,Cindy Hyde-Smith,lifelong conservative proudly fighting for the people of mississippi in the u s  senate ,20433.0
